date,state,fips,cases,deaths,new,prev,percentDiff
2020-01-21,Washington,53,1,0,,,
2020-01-22,Washington,53,1,0,0.0,1.0,0.0
2020-01-23,Washington,53,1,0,0.0,1.0,0.0
2020-01-24,Washington,53,1,0,0.0,1.0,0.0
2020-01-25,Washington,53,1,0,0.0,1.0,0.0
2020-01-26,Washington,53,1,0,0.0,1.0,0.0
2020-01-27,Washington,53,1,0,0.0,1.0,0.0
2020-01-28,Washington,53,1,0,0.0,1.0,0.0
2020-01-29,Washington,53,1,0,0.0,1.0,0.0
2020-01-30,Washington,53,1,0,0.0,1.0,0.0
2020-01-31,Washington,53,1,0,0.0,1.0,0.0
2020-02-01,Washington,53,1,0,0.0,1.0,0.0
2020-02-02,Washington,53,1,0,0.0,1.0,0.0
2020-02-03,Washington,53,1,0,0.0,1.0,0.0
2020-02-04,Washington,53,1,0,0.0,1.0,0.0
2020-02-05,Washington,53,1,0,0.0,1.0,0.0
2020-02-06,Washington,53,1,0,0.0,1.0,0.0
2020-02-07,Washington,53,1,0,0.0,1.0,0.0
2020-02-08,Washington,53,1,0,0.0,1.0,0.0
2020-02-09,Washington,53,1,0,0.0,1.0,0.0
2020-02-10,Washington,53,1,0,0.0,1.0,0.0
2020-02-11,Washington,53,1,0,0.0,1.0,0.0
2020-02-12,Washington,53,1,0,0.0,1.0,0.0
2020-02-13,Washington,53,1,0,0.0,1.0,0.0
2020-02-14,Washington,53,1,0,0.0,1.0,0.0
2020-02-15,Washington,53,1,0,0.0,1.0,0.0
2020-02-16,Washington,53,1,0,0.0,1.0,0.0
2020-02-17,Washington,53,1,0,0.0,1.0,0.0
2020-02-18,Washington,53,1,0,0.0,1.0,0.0
2020-02-19,Washington,53,1,0,0.0,1.0,0.0
2020-02-20,Washington,53,1,0,0.0,1.0,0.0
2020-02-21,Washington,53,1,0,0.0,1.0,0.0
2020-02-22,Washington,53,1,0,0.0,1.0,0.0
2020-02-23,Washington,53,1,0,0.0,1.0,0.0
2020-02-24,Washington,53,5,0,4.0,1.0,4.0
2020-02-25,Washington,53,5,0,0.0,5.0,0.0
2020-02-26,Washington,53,5,0,0.0,5.0,0.0
2020-02-27,Washington,53,5,0,0.0,5.0,0.0
2020-02-28,Washington,53,7,0,2.0,5.0,0.4
2020-02-29,Washington,53,10,1,3.0,7.0,0.42857142857142855
2020-03-01,Washington,53,17,3,7.0,10.0,0.7
2020-03-02,Washington,53,23,6,6.0,17.0,0.35294117647058826
2020-03-03,Washington,53,32,10,9.0,23.0,0.391304347826087
2020-03-04,Washington,53,47,11,15.0,32.0,0.46875
2020-03-05,Washington,53,75,11,28.0,47.0,0.5957446808510638
2020-03-06,Washington,53,86,12,11.0,75.0,0.14666666666666667
2020-03-07,Washington,53,110,16,24.0,86.0,0.27906976744186046
2020-03-08,Washington,53,141,19,31.0,110.0,0.2818181818181818
2020-03-09,Washington,53,179,22,38.0,141.0,0.2695035460992908
2020-03-10,Washington,53,279,24,100.0,179.0,0.5586592178770949
2020-03-11,Washington,53,338,29,59.0,279.0,0.2114695340501792
2020-03-12,Washington,53,419,32,81.0,338.0,0.23964497041420119
2020-03-13,Washington,53,511,37,92.0,419.0,0.21957040572792363
2020-03-14,Washington,53,609,40,98.0,511.0,0.1917808219178082
2020-03-15,Washington,53,675,42,66.0,609.0,0.10837438423645321
2020-03-16,Washington,53,794,48,119.0,675.0,0.17629629629629628
2020-03-17,Washington,53,908,54,114.0,794.0,0.14357682619647355
2020-03-18,Washington,53,1026,68,118.0,908.0,0.1299559471365639
2020-03-19,Washington,53,1228,75,202.0,1026.0,0.1968810916179337
2020-03-20,Washington,53,1404,83,176.0,1228.0,0.14332247557003258
2020-03-21,Washington,53,1655,95,251.0,1404.0,0.1787749287749288
2020-03-22,Washington,53,1844,97,189.0,1655.0,0.11419939577039274
2020-03-23,Washington,53,2101,110,257.0,1844.0,0.1393709327548807
2020-03-24,Washington,53,2469,123,368.0,2101.0,0.17515468824369348
2020-03-25,Washington,53,2585,130,116.0,2469.0,0.04698258404212231
